id,drug_name,drug_class,food_or_nutrient,severity,mechanism_vi,recommendation_vi,source_ref,verify_status
1,Warfarin,chống đông kháng vitamin K,vitamin K (rau lá xanh đậm),high,"Vitamin K đối kháng tác dụng chống đông, làm giảm hiệu quả thuốc và thay đổi INR","Không kiêng tuyệt đối. Giữ lượng rau lá xanh ỔN ĐỊNH mỗi ngày, tránh tăng giảm đột ngột. Báo bác sĩ nếu thay đổi chế độ ăn","Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Warfarin",to_verify
2,Warfarin,chống đông kháng vitamin K,rau ngót,high,Rau ngót giàu vitamin K,"Giữ lượng ổn định, không ăn tăng vọt trong tuần","DAT-21 (sửa 2026-08-12, nguồn cũ gán nhầm chuyên luận Warfarin cho hàm lượng vitamin K của rau ngót — Dược thư không liệt kê tên rau cụ thể). Cơ chế đối kháng: Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Warfarin. Hàm lượng vitamin K cao ở rau ngót (Sauropus androgynus): xác nhận định tính qua y văn tương tác warfarin-thực phẩm (nghiên cứu tổng quan ""Warfarin drug interaction with vitamin K and other foodstuffs"", ResearchGate/PMC) — CHƯA có số liệu mcg định lượng theo USDA cho loài rau này, không suy diễn con số",verified
3,Warfarin,chống đông kháng vitamin K,cải bắp,high,Giàu vitamin K,Giữ lượng ổn định,"DAT-21 (sửa 2026-08-12, nguồn cũ gán nhầm chuyên luận Warfarin cho hàm lượng vitamin K của cải bắp). Cơ chế đối kháng: Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Warfarin. Hàm lượng vitamin K: USDA FoodData Central, Cabbage raw ~76 mcg vitamin K/100g (fdc.nal.usda.gov)",verified
4,Warfarin,chống đông kháng vitamin K,súp lơ xanh,high,Giàu vitamin K,Giữ lượng ổn định,"DAT-21 (sửa 2026-08-12, nguồn cũ gán nhầm chuyên luận Warfarin cho hàm lượng vitamin K của súp lơ xanh). Cơ chế đối kháng: Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Warfarin. Hàm lượng vitamin K: USDA FoodData Central, Broccoli raw ~102 mcg vitamin K/100g (fdc.nal.usda.gov)",to_verify
5,Warfarin,chống đông kháng vitamin K,rượu bia,high,"Rượu ảnh hưởng chuyển hoá warfarin ở gan, tăng nguy cơ chảy máu",Tránh rượu bia,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Warfarin",to_verify
6,Enalapril,ức chế men chuyển (ACEi),thực phẩm giàu kali,high,"ACEi làm giảm bài tiết kali, kết hợp thực phẩm giàu kali gây tăng kali máu","Hạn chế chuối, bơ, nước dừa, nước ép cà chua. Theo dõi kali máu","Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Enalapril",to_verify
7,Enalapril,ức chế men chuyển (ACEi),muối thay thế chứa kali,high,"Muối thay thế thường là kali clorid, cộng dồn gây tăng kali máu nguy hiểm",Không dùng muối thay thế nếu chưa hỏi bác sĩ,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Enalapril",to_verify
8,Losartan,chẹn thụ thể angiotensin (ARB),thực phẩm giàu kali,high,Cơ chế tương tự ACEi,"Hạn chế thực phẩm giàu kali, theo dõi điện giải","Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Losartan, mục Tương tác thuốc: ""Các tác nhân làm tăng nồng độ kali huyết... khi phối hợp với losartan sẽ làm tăng nồng độ kali huyết"" (trungtamthuoc.com/hoat-chat/losartan)",to_verify
9,Atorvastatin,statin,bưởi,high,"Furanocoumarin trong bưởi ức chế CYP3A4 làm tăng nồng độ statin, tăng nguy cơ tiêu cơ vân",Tránh bưởi và nước ép bưởi trong thời gian dùng thuốc. Có thể thay bằng cam,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Atorvastatin",to_verify
10,Simvastatin,statin,bưởi,high,Ức chế CYP3A4 - simvastatin nhạy cảm nhất trong nhóm statin,Tránh hoàn toàn bưởi và nước ép bưởi,"Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Simvastatin, mục 11.2 Các tương tác khác: ""Nước ép Bưởi chùm chứa thành phần ức chế CYP3A4, có thể làm tăng nồng độ các thuốc chuyển hoá qua CYP3A4"" (trungtamthuoc.com/hoat-chat/simvastatin)",to_verify
11,Metformin,biguanide,rượu bia,high,Tăng nguy cơ nhiễm toan lactic và hạ đường huyết,"Tránh rượu bia, đặc biệt khi bụng đói","Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Metformin, mục Tương tác thuốc: ""Tránh uống rượu (tỷ lệ nhiễm acid lactic có thể tăng; có thể gây hạ đường huyết)"" (trungtamthuoc.com/hoat-chat/metformin)",to_verify
12,Metformin,biguanide,vitamin B12,moderate,Dùng dài ngày làm giảm hấp thu vitamin B12,"Tăng thực phẩm giàu B12 (thịt, cá, trứng), kiểm tra B12 định kỳ","Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Metformin: ""Khi dùng dài ngày có thể có nguy cơ giảm hấp thu vitamin B12"" (trungtamthuoc.com/hoat-chat/metformin)",to_verify
13,Levothyroxine,hormone tuyến giáp,canxi (sữa và chế phẩm),moderate,Canxi tạo phức làm giảm hấp thu thuốc,"Uống thuốc lúc đói, cách sữa/canxi ít nhất 4 giờ","MedlinePlus Drug Information (NIH), Levothyroxine: ""if you take calcium carbonate... take it at least 4 hours before or 4 hours after you take levothyroxine"" (medlineplus.gov/druginfo/meds/a682461.html)",to_verify
14,Levothyroxine,hormone tuyến giáp,đậu nành,moderate,Isoflavone làm giảm hấp thu,Cách xa thời điểm uống thuốc ít nhất 4 giờ,"Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Levothyroxine: ""Một số thức ăn có thể làm giảm hấp thu levothyroxin như sữa đậu nành công thức, bột đậu nành..."" (trungtamthuoc.com/hoat-chat/levothyroxine)",to_verify
15,Levothyroxine,hormone tuyến giáp,cà phê,moderate,Giảm hấp thu thuốc,"Uống thuốc trước ăn sáng 30-60 phút, không uống cùng cà phê","DAT-21 (sửa 2026-08-12, tên đồng tác giả trích dẫn cũ sai). Benvenga S, Bartolone L, Pappalardo MA, et al. ""Altered Intestinal Absorption of L-Thyroxine Caused by Coffee."" Thyroid. 2008;18(3):293-301 (PMID 18341376) — cà phê espresso làm giảm hấp thu levothyroxine trung bình 36% khi uống cùng lúc",verified
16,Allopurinol,ức chế xanthine oxidase,rượu bia,high,"Rượu làm tăng acid uric, đối kháng tác dụng thuốc",Kiêng rượu bia,"DAT-21 (sửa 2026-08-12, nguồn cũ gán nhầm chuyên luận Allopurinol — chuyên luận Dược thư QGVN 2022 tr.180-182 KHÔNG có mục tương tác rượu; đây là tương tác SINH LÝ rượu/acid uric, không phải tương tác dược động học của allopurinol). Choi HK, Atkinson K, Karlson EW, Willett W, Curhan G. ""Alcohol intake and risk of incident gout in men: a prospective study."" Lancet. 2004;363(9417):1277-1281 (PMID 15094272); ACR 2020 Gout Guideline khuyến cáo hạn chế rượu trong điều trị gout",verified
17,Colchicine,điều trị gout cấp,bưởi,high,Ức chế CYP3A4 làm tăng độc tính colchicine,Tránh bưởi,"DAT-21 (sửa 2026-08-12, nguồn cũ gán nhầm chuyên luận Colchicine của Dược thư VN tr.512-514 — chuyên luận thật không nhắc bưởi cụ thể; severity nâng moderate→high vì colchicine có khoảng trị liệu hẹp). FDA Colchicine label (accessdata.fda.gov/drugsatfda_docs/label/2024/204820s006lbl.pdf): bưởi ức chế CYP3A4/P-gp vừa phải, tăng phơi nhiễm colchicine toàn thân, nguy cơ độc tính nghiêm trọng/đe doạ tính mạng; ca lâm sàng ngộ độc colchicine sau uống ~1L nước ép bưởi/ngày (Clinical Therapeutics 2012;34(10) — ScienceDirect S0149-2918(12)00488-2)",verified
18,Hydrochlorothiazide,lợi tiểu thiazide,kali,moderate,Thuốc làm mất kali qua nước tiểu,"Có thể cần tăng thực phẩm giàu kali - theo chỉ định bác sĩ, không tự bổ sung","Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Hydrochlorothiazide",to_verify
19,Furosemide,lợi tiểu quai,kali,moderate,Mất kali và magie qua nước tiểu,"Theo dõi điện giải, bổ sung theo chỉ định","Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Furosemide: ""mất cân bằng nước và điện giải bao gồm giảm kali huyết... Kiểm tra thường xuyên điện giải đồ"" (trungtamthuoc.com/hoat-chat/furosemide)",to_verify
20,Spironolactone,lợi tiểu giữ kali,thực phẩm giàu kali,high,"Thuốc giữ kali, cộng dồn gây tăng kali máu","Hạn chế chuối, nước dừa, muối thay thế","Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Spironolactone: ""Tránh dùng các chế phẩm chứa nhiều kali (như muối thay thế, thực phẩm ít muối, chuối, các loại hạt)"" (trungtamthuoc.com/hoat-chat/spironolactone)",to_verify
21,Digoxin,glycoside tim,chất xơ liều cao,moderate,Chất xơ làm giảm hấp thu digoxin,Uống thuốc cách bữa nhiều chất xơ ít nhất 2 giờ,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Digoxin",to_verify
22,Digoxin,glycoside tim,cam thảo,high,"Cam thảo gây hạ kali máu, làm tăng độc tính digoxin",Tránh cam thảo và trà thảo mộc chứa cam thảo,"DAT-21 (sửa 2026-08-12, nguồn cũ gán nhầm chuyên luận Digoxin — đây là cơ chế dược lý của CAM THẢO, không phải tương tác ghi trong chuyên luận Digoxin). Glycyrrhizin/acid glycyrrhetinic ức chế 11-beta-HSD2 gây giả cường aldosteron (giữ natri, thải kali); hạ kali máu làm tăng nguy cơ ngộ độc digoxin — Frontiers in Nutrition 2021 (doi:10.3389/fnut.2021.719197) tổng quan giả cường aldosteron do cam thảo; ca lâm sàng ngộ độc digoxin do hạ kali máu vì cam thảo (PMC case reports)",to_verify
23,Amlodipine,chẹn kênh canxi,bưởi,low,"Ức chế CYP3A4 nhẹ làm tăng nồng độ thuốc (Cmax +15%, AUC +16%) nhưng KHÔNG gây thay đổi có ý nghĩa lâm sàng về huyết áp/nhịp tim","Không cần kiêng tuyệt đối; có thể dùng ở mức vừa phải, không cần thay đổi liều","DAT-21 (sửa 2026-08-12, severity hạ moderate→low theo bằng chứng định lượng — nguồn cũ ghi chung chung ""tăng nguy cơ tụt huyết áp"" nhưng dữ liệu thật cho thấy hiệu ứng PK nhỏ và KHÔNG có khác biệt HA/nhịp tim có ý nghĩa). Josefsson M, Zackrisson AL, Ahlner J. ""Effect of grapefruit juice on the pharmacokinetics of amlodipine in healthy volunteers."" Eur J Clin Pharmacol. 1996;51(2):189-193 (PMID 8911887)",verified
24,Ciprofloxacin,kháng sinh quinolone,canxi (sữa),moderate,Tạo phức chelate làm giảm hấp thu kháng sinh,Uống cách sữa và chế phẩm sữa ít nhất 2 giờ,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Ciprofloxacin",to_verify
